condition,seed,pson_visibility,cma_visibility,pson_advantage
Clean,42,0.5390422877791092,0.91074075758624,-0.3716984698071307
Clean,123,0.5552278118330065,0.9581598140914437,-0.40293200225843717
Clean,456,0.5491813472698894,0.9727140832202027,-0.42353273595031327
Clean,789,0.5364469605374713,0.935315313145692,-0.39886835260822073
Clean,1000,0.5057364457074637,0.9539108683373332,-0.4481744226298695
Noise-Low,42,0.45032194896960875,0.9501871234812895,-0.4998651745116808
Noise-Low,123,0.4175241167680035,0.948630969783672,-0.5311068530156685
Noise-Low,456,0.401323706534773,0.9459954165704159,-0.5446717100356429
Noise-Low,789,0.4098203343132519,0.9399615523987752,-0.5301412180855234
Noise-Low,1000,0.42219594316771764,0.8950481641365445,-0.4728522209688269
Noise-Med,42,0.4223826555941257,0.8182102124200157,-0.39582755682589
Noise-Med,123,0.3925090433401435,0.7994188739048198,-0.4069098305646763
Noise-Med,456,0.4001826736304723,0.8563305349683759,-0.4561478613379036
Noise-Med,789,0.40384113420199164,0.8154883041703789,-0.41164716996838724
Noise-Med,1000,0.39715642713317223,0.8597126169605258,-0.4625561898273536
Noise-High,42,0.38163653520691304,0.6106202986111154,-0.2289837634042024
Noise-High,123,0.40527648628230595,0.6875661624078551,-0.2822896761255491
Noise-High,456,0.4001990377436592,0.5350596402605505,-0.1348606025168913
Noise-High,789,0.38948466867600107,0.6304709543182577,-0.24098628564225666
Noise-High,1000,0.39592035594559505,0.7144712134384453,-0.3185508574928503
Quant-10,42,0.43626777670597156,0.8404784607263198,-0.40421068402034827
Quant-10,123,0.41409739827910313,0.7543861154006857,-0.34028871712158254
Quant-10,456,0.4232353100680046,0.805678793255229,-0.3824434831872244
Quant-10,789,0.3916882162934011,0.7685774571240175,-0.37688924083061637
Quant-10,1000,0.4481216171989212,0.4710838835186747,-0.02296226631975351
Quant-5,42,0.4131352167664779,0.44134299115176245,-0.028207774385284545
Quant-5,123,0.40769878085554667,0.43660267798727137,-0.0289038971317247
Quant-5,456,0.42419421379671474,0.44723815501534503,-0.023043941218630293
Quant-5,789,0.3916882162934011,0.4411224043730469,-0.04943418807964578
Quant-5,1000,0.4192501800319294,0.40981828347129745,0.009431896560631925
Quant-3,42,0.41297819231683375,0.44134299115176245,-0.028364798834928706
Quant-3,123,0.406881480829534,0.43660267798727137,-0.029721197157737356
Quant-3,456,0.42302586263595654,0.44723815501534503,-0.02421229237938849
Quant-3,789,0.3915680514185392,0.4411224043730469,-0.04955435295450772
Quant-3,1000,0.4193201138301751,0.40981828347129745,0.009501830358877639
Stale-2,42,0.4678891902704739,0.5357651025681303,-0.06787591229765638
Stale-2,123,0.4872628136114785,0.6227726243300672,-0.1355098107185887
Stale-2,456,0.4868149806578149,0.6012180229266727,-0.11440304226885778
Stale-2,789,0.45720240167422893,0.6346476248484478,-0.1774452231742189
Stale-2,1000,0.46521699546669576,0.5660805560966042,-0.10086356062990848
Stale-5,42,0.44457305749729137,0.5394030927551898,-0.09483003525789846
Stale-5,123,0.4195113517365057,0.6130341050823263,-0.19352275334582053
Stale-5,456,0.4497053290874618,0.514065037341693,-0.06435970825423115
Stale-5,789,0.43175525714757174,0.5315770612702057,-0.09982180412263392
Stale-5,1000,0.4460343135010275,0.46926442101388155,-0.023230107512854037
Stale-10,42,0.4328662505464989,0.5022352279053577,-0.06936897735885877
Stale-10,123,0.4121729795908587,0.45344180581760635,-0.04126882622674766
Stale-10,456,0.436979617588274,0.49622607396603485,-0.059246456377760826
Stale-10,789,0.41489100185883077,0.471823106997873,-0.05693210513904223
Stale-10,1000,0.4323843022157447,0.5232056783439254,-0.0908213761281807
Combined-Mild,42,0.3976257690811018,0.7002616934436316,-0.30263592436252984
Combined-Mild,123,0.40896585403936264,0.674441406321077,-0.2654755522817143
Combined-Mild,456,0.4233434493294849,0.4810118145283061,-0.05766836519882118
Combined-Mild,789,0.4092170721000456,0.4956805085090672,-0.0864634364090216
Combined-Mild,1000,0.37865586748592134,0.5502363585016647,-0.1715804910157434
Combined-Severe,42,0.42556809333312073,0.44134299115176245,-0.01577489781864172
Combined-Severe,123,0.40062340613929837,0.43660267798727137,-0.035979271847973004
Combined-Severe,456,0.39672424518563576,0.44723815501534503,-0.05051390982970927
Combined-Severe,789,0.38742923099520343,0.4411224043730469,-0.05369317337784346
Combined-Severe,1000,0.3849163881126906,0.40981828347129745,-0.024901895358606874
