zeta_gain,lr,noise,baseline_V,final_V_no_pson,final_V_pson,deltaF90_no_pson,deltaF90_pson,accept_rate_no_pson,accept_rate_pson
0.1,0.05,0.01,0.40290248473221896,0.3989823234069413,0.4611254702871643,0,180,0.0,0.29449838187702265
0.1,0.05,0.02,0.40290248473221896,0.3989823234069413,0.5250701713842577,0,182,0.0,0.2987012987012987
0.1,0.05,0.03,0.40290248473221896,0.3989823234069413,0.5795308633870215,0,179,0.0,0.30194805194805197
0.1,0.1,0.01,0.40290248473221896,0.3989823234069413,0.46074651080778906,0,182,0.0,0.2987012987012987
0.1,0.1,0.02,0.40290248473221896,0.3989823234069413,0.5249117858327398,0,182,0.0,0.2987012987012987
0.1,0.1,0.03,0.40290248473221896,0.3989823234069413,0.5790886554585243,0,179,0.0,0.2903225806451613
0.1,0.15,0.01,0.40290248473221896,0.3989823234069413,0.4604961981936639,0,182,0.0,0.29449838187702265
0.1,0.15,0.02,0.40290248473221896,0.3989823234069413,0.524647349945454,0,182,0.0,0.2987012987012987
0.1,0.15,0.03,0.40290248473221896,0.3989823234069413,0.580558309642208,0,182,0.0,0.2903225806451613
0.2,0.05,0.01,0.40290248473221896,0.40290248473221896,0.4653284251697667,0,180,0.0,0.29449838187702265
0.2,0.05,0.02,0.40290248473221896,0.40290248473221896,0.5284708698695382,0,182,0.0,0.30293159609120524
0.2,0.05,0.03,0.40290248473221896,0.40290248473221896,0.5839850353889865,0,179,0.0,0.2987012987012987
0.2,0.1,0.01,0.40290248473221896,0.40290248473221896,0.46490611282230315,0,180,0.0,0.29449838187702265
0.2,0.1,0.02,0.40290248473221896,0.40290248473221896,0.5278053318276659,0,182,0.0,0.2987012987012987
0.2,0.1,0.03,0.40290248473221896,0.40290248473221896,0.5837154305412933,0,179,0.0,0.2987012987012987
0.2,0.15,0.01,0.40290248473221896,0.40290248473221896,0.46440146823873124,0,180,0.0,0.29449838187702265
0.2,0.15,0.02,0.40290248473221896,0.40290248473221896,0.5275723385380301,0,182,0.0,0.2987012987012987
0.2,0.15,0.03,0.40290248473221896,0.40290248473221896,0.5839814744896344,0,182,0.0,0.29354838709677417
0.3,0.05,0.01,0.40290248473221896,0.40655494991191365,0.46933612431049787,0,179,0.0,0.30293159609120524
0.3,0.05,0.02,0.40290248473221896,0.40655494991191365,0.5314037264886594,0,182,0.0,0.3300970873786408
0.3,0.05,0.03,0.40290248473221896,0.40655494991191365,0.5911167138511609,0,182,0.0,0.3257328990228013
0.3,0.1,0.01,0.40290248473221896,0.40655494991191365,0.4690657928251211,0,179,0.0,0.30293159609120524
0.3,0.1,0.02,0.40290248473221896,0.40655494991191365,0.5314664399088913,0,182,0.0,0.29449838187702265
0.3,0.1,0.03,0.40290248473221896,0.40655494991191365,0.5936361419074588,0,182,0.0,0.2987012987012987
0.3,0.15,0.01,0.40290248473221896,0.40655494991191365,0.46850427208091,0,179,0.0,0.30718954248366015
0.3,0.15,0.02,0.40290248473221896,0.40655494991191365,0.5316591650154328,0,182,0.0,0.2987012987012987
0.3,0.15,0.03,0.40290248473221896,0.40655494991191365,0.5930104935992759,0,182,0.0,0.2779552715654952
