sigma,zeta_gain,seed,lr,noise,final_V,deltaF90,accept_rate
0.65,0.5,42,0.15,0.02,0.5496095220575552,173,0.2698412698412698
0.65,0.5,42,0.15,0.03,0.608492073141814,169,0.3035143769968051
0.65,0.5,43,0.1,0.02,0.5691683124808543,182,0.32450331125827814
0.65,0.5,43,0.1,0.03,0.6315753180567172,183,0.3225806451612903
0.65,0.5,43,0.12,0.02,0.5693194448471394,180,0.3234323432343234
0.65,0.5,43,0.12,0.03,0.6334317713474379,183,0.3344155844155844
0.65,0.5,43,0.15,0.02,0.5693439147766322,182,0.3201320132013201
0.65,0.5,43,0.15,0.03,0.6339810833356575,183,0.3519736842105263
0.65,0.7,41,0.1,0.02,0.5846268841436904,169,0.6118421052631579
0.65,0.7,41,0.1,0.03,0.6329966276239685,166,0.6045016077170418
0.65,0.7,41,0.12,0.02,0.5852437439792793,169,0.6118421052631579
0.65,0.7,41,0.12,0.03,0.6340682978574225,166,0.6045016077170418
0.65,0.7,41,0.15,0.02,0.5860981499780036,169,0.6118421052631579
0.65,0.7,41,0.15,0.03,0.6393014172932489,166,0.6103896103896104
0.65,0.7,42,0.1,0.02,0.596312432304713,170,0.5946843853820598
0.65,0.7,42,0.1,0.03,0.6691113102129815,170,0.5774193548387097
0.65,0.7,42,0.12,0.02,0.5974002593043829,170,0.5980066445182725
0.65,0.7,42,0.12,0.03,0.6701682498429581,170,0.5774193548387097
0.65,0.7,42,0.15,0.02,0.5993660780169026,174,0.594059405940594
0.65,0.7,42,0.15,0.03,0.671559706449351,170,0.5755627009646302
0.65,0.7,43,0.1,0.02,0.6069990995202094,165,0.6245847176079734
0.65,0.7,43,0.1,0.03,0.6819273687960227,165,0.6233766233766234
0.65,0.7,43,0.12,0.02,0.608003921853097,165,0.6225165562913907
0.65,0.7,43,0.12,0.03,0.682820710920683,165,0.6201298701298701
0.65,0.7,43,0.15,0.02,0.6097520624062502,165,0.6245847176079734
0.65,0.7,43,0.15,0.03,0.6811242995128479,165,0.6241830065359477
